  Language_ISO639;hu
ScanOrder;Sorváltási sorrend
ScanOrder_Original;
ScanOrder_Stored;
ScanOrder_StoredDisplayedInverted;
ScanOrder_StoreMethod;
ScanType;Sorváltás típusa
ScanType_Original;
ScanType_StoreMethod;
ScreenplayBy;Forgatókönyvíró
ScreenToCenter;
ScreenToFront;
Season;Évad
SecondaryAudioLanguage;
see below;lásd alant
Send HeaderFile;Kérem, küdje el a fejléc fájlt ide: http://sourceforge.net/projects/mediainfo/ (Bug section)
Separator_Columns;Oszlop elválasztó
Separator_Lines;Sor elválasztó
SeriesTitle;
ServiceChannel;Szolgáltatás csatornája
ServiceKind;
ServiceName;Szolgáltatás neve
ServiceProvider;Szolgáltató
ServiceType;Szolgáltatás típusa
Set;Sorszám
Set_Count;Összesen
Setup;Beállítások
Sharpness;Élesség
Sheet;Táblázat
Sheet (Complete);Táblázat (teljes)
Shell extension;Rendszerhéj-kiterjesztés (az Intézőben a helyzetérzékeny menüben Media Info menüpont...)
Shell extension, folder;
Shell InfoTip;Rendszerhéj tipp (ha az egérmutató az Intézőben a fájl fölé visszük, adatokat láthatunk)
ShimName;
ShimVersion;
Show menu;Menü mutatása
Show toolbar;Eszköztár mutatása
SignalGroup;
SigningPresent;
SignLanguage;
Sort;Sorba rendezte
SoundCategory;
SoundEngineer;Hangmérnök
Source;
Source_Duration;
Source_FrameCount;
Source_SamplingCount;
Source_StreamSize;
Source_StreamSize_Encoded;
SpokenSubtitles;
Standard;Szabvány
StoreMethod_InterleavedFields;
StoreMethod_SeparatedFields;
StoreMethod_SeparatedFields_1;
StoreMethod_SeparatedFields_2;
Stream;Sáv
Stream_MoreInfo;Több adat a sávról
StreamCount;A hasonló fajtájú sávok száma
StreamFormat;
StreamID;Sávazonosító
streamIdentifier;
StreamKind;Sáv fajtája
StreamKindID;Sáv fajta azonosító
StreamKindPos;Sáv fajta sorszáma
StreamSize;Adatfolyam mérete
StreamSize_Demuxed;
StreamSize_Encoded;
StreamSize_Proportion;Adatofolyam aránya
Subject;Tárgy
Subscribe;
Subscribe_Button;
Subscribe_Failed;
Subscribe_Manage;
Subscribe_Renew;
Subscribe_Renew_Price;
Subscribe_Unaviable;
Subscribe_Waiting;
Subscription_Active;
Subscription_Android;
Subscription_Ended;
Subscription_Expired;
Subscription_Lifetime;
Subscription_Thanks;
Substream;
SubTrack;Alsáv
SubtstreamIdChannel;
Summary;Kivonat
Supported formats;Támogatott formátumok
Supported?;Támogatott?
SupportUs;
SurroundAttenuationKnown;
SwitchGroup;
Synopsis;Áttekintés
SystemId;Azonosító
Tagged_Application;Jelölő alkalmazás
Tagged_Date;Jelölés dátuma
TargetDeviceConfig;
Technician;Technikus
TermsOfUse;Felhasználási feltételek
TertiaryAudioLanguage;
Text;Szöveg
Text - Custom;Szöveg - egyedi
Text (HTML);Text (HTML)
Text stream(s);Szövegsávok
Text streams;Szövegsávok
Text_Codec_List;Szövegkódekek
Text_No;Nincs szöveg
Text1;Első szövegsáv
Text2;Második szövegsáv
Text3;Harmadik szövegsáv
TextCount;Szövegsávok száma
TextlessElementsExist;
ThanksTo;Köszönetnyilvánítás
Thousands separator;Ezres elválasztó jel
TimeCode;
TimeCode_FirstFrame;
TimeCode_LastFrame;
TimeCode_MaxFrameNumber;
TimeCode_MaxFrameNumber_Theory;
TimeCode_Settings;
TimeCode_Source;
TimeCode_Stripped;
TimeStamp;
TimeZone;
Title;Cím
Title_More;Cím, több adat
Top4ToTop2;
TopBackToFront;
TopBackToSide;
TopFrontToBack;
TopFrontToFront;
TopFrontToSide;
Total;Összesen
TotalNumberOfParts;
TotalProgrammeDuration;
Track;Sáv
Track_Count;Sávok száma
TrackFormat;
TrackIndex;
TrackUID;
transfer_characteristics;
Translate_Reports;
Translator;Fordító
Transport;
Tree;Fa
Tree & Text;Fa és szöveg
Trim_Center;
Trim_Height;
Trim_Surround;
TrimMode;
TrimMode0i;
TrimMode1i;
TrimMode2i;
TrimMode3i;
TrimMode4i;
TrimMode5i;
TrimMode6i;
TrimMode7i;
TrimMode8i;
TruePeakLevel;
TruePeakLevel_Album;
Type;
TypeDefinition;
UniqueID;
UniversalAdID;
UniversalAdID_Registry;
UniversalAdID_Value;
Unknown;Ismeretlen
Url;Url
Video;Kép
Video stream(s);Képsávok
Video_Codec_List;Képkódekek
Video_Delay;Videó késleltetés
Video_No;Nincs kép
Video0_Delay;Video0 késleltetés
Video1;Első képsáv
VideoComments;
VideoCount;Képsávok száma
View;Nézet
View_Hint;Megtekintési adatok megváltoztatása
Views;
Warning : more streams in the files;Figyelem: ebben a fájlban több sáv van
Web;Web
WebSite;
WebSite_Audio;A hangkódek weblapjának meglátogatása
WebSite_Audio_More;Látogassa meg a hangkódek weblapját (%Url%)
WebSite_General;A fájl lejátszó weblapjának meglátogatása
WebSite_General_More;Látogassa meg a fájl lejátszó weblapját (%Url%)
WebSite_Text;A szövegkódek weblapjának meglátogatása
WebSite_Text_More;Látogassa meg a szövegkódek weblapját (%Url%)
WebSite_Url;http://MediaArea.net/MediaInfo
WebSite_Video;A képkódek weblapjának meglátogatása
WebSite_Video_More;Látogassa meg a képkódek weblapját (%Url%)
Width;Szélesség
Width_CleanAperture;
Width_Original;
WriteMe;Írjon
WriteToTranslator;Írjon a fordítónak
Written_Date;Írás dátuma
Written_Location;Írás helye
WrittenBy;Írta
Yes;igen
Your system;Rendszer
ZZ_Automatic_Percent;63
ZZ_AutomaticLanguage_Percent;69
