  Language_ISO639;sk
ScreenToFront;
Season;Season
SecondaryAudioLanguage;
see below;pozri nižšie
Send HeaderFile;
Separator_Columns;Oddeľovač stĺpcov
Separator_Lines;Oddeľovač riadkov
SeriesTitle;
ServiceChannel;
ServiceKind;
ServiceName;
ServiceProvider;
ServiceType;
Set;Nastaviť
Set_Count;Set count
Setup;Hlavné
Sharpness;
Sheet;List
Sheet (Complete);List (kompletný) 
Shell extension;Integrovať do kontextového menu Prieskumníka (pravé tlačíidlo myši)
Shell extension, folder;
Shell InfoTip;Integrovať do kontextového menu (pri nadídení myši na súbor)
ShimName;
ShimVersion;
Show menu;Zobraziť menu
Show toolbar;Zobraziť nástrojovú lištu
SignalGroup;
SigningPresent;
SignLanguage;
Sort;Zoradiť podľa
SoundCategory;
SoundEngineer;Sound engineer
Source;
Source_Duration;
Source_FrameCount;
Source_SamplingCount;
Source_StreamSize;
Source_StreamSize_Encoded;
SpokenSubtitles;
Standard;Štandard
StoreMethod_InterleavedFields;
StoreMethod_SeparatedFields;
StoreMethod_SeparatedFields_1;
StoreMethod_SeparatedFields_2;
Stream;Dátový stream
Stream_MoreInfo;More information about the stream
StreamCount;Count of stream of this kind
StreamFormat;
StreamID;Stream ID
streamIdentifier;
StreamKind;Kind of stream
StreamKindID;
StreamKindPos;
StreamSize;
StreamSize_Demuxed;
StreamSize_Encoded;
StreamSize_Proportion;
Subject;Subjekt
Subscribe;
Subscribe_Button;
Subscribe_Failed;
Subscribe_Manage;
Subscribe_Renew;
Subscribe_Renew_Price;
Subscribe_Unaviable;
Subscribe_Waiting;
Subscription_Active;
Subscription_Android;
Subscription_Ended;
Subscription_Expired;
Subscription_Lifetime;
Subscription_Thanks;
Substream;
SubTrack;SubTrack
SubtstreamIdChannel;
Summary;Summary
Supported formats;Podporované formáty
Supported?;Podporovaný?
SupportUs;
SurroundAttenuationKnown;
SwitchGroup;
Synopsis;Synopsis
SystemId;Id
Tagged_Application;
Tagged_Date;Tagged date
TargetDeviceConfig;
Technician;Technician
TermsOfUse;Terms of use
TertiaryAudioLanguage;
Text;Text
Text - Custom;Text - Vlastný
Text (HTML);Text (HTML)
Text stream(s);Text streams
Text streams;Text streams
Text_Codec_List;Text codecs
Text_No;Bez textu
Text1;Prvý text stream
Text2;Druhý text stream
Text3;Tretí text stream
TextCount;Count of text streams
TextlessElementsExist;
ThanksTo;Poďakovanie
Thousands separator;Oddeľovač tisícok
TimeCode;
TimeCode_FirstFrame;
TimeCode_LastFrame;
TimeCode_MaxFrameNumber;
TimeCode_MaxFrameNumber_Theory;
TimeCode_Settings;
TimeCode_Source;
TimeCode_Stripped;
TimeStamp;
TimeZone;Časová zóna
Title;Titul
Title_More;Titul, ďalšie informácie
Top4ToTop2;
TopBackToFront;
TopBackToSide;
TopFrontToBack;
TopFrontToFront;
TopFrontToSide;
Total;Celkom
TotalNumberOfParts;
TotalProgrammeDuration;
Track;Názov stopy
Track_Count;Počet stôp
TrackFormat;
TrackIndex;
TrackUID;
transfer_characteristics;
Translate_Reports;
Translator;Preložil
Transport;
Tree;Strom
Tree & Text;Strom a text
Trim_Center;
Trim_Height;
Trim_Surround;
TrimMode;
TrimMode0i;
TrimMode1i;
TrimMode2i;
TrimMode3i;
TrimMode4i;
TrimMode5i;
TrimMode6i;
TrimMode7i;
TrimMode8i;
TruePeakLevel;
TruePeakLevel_Album;
Type;
TypeDefinition;
UniqueID;
UniversalAdID;
UniversalAdID_Registry;
UniversalAdID_Value;
Unknown;Neznámy
Url;Url
Video;Video
Video stream(s);Video stream(y)
Video_Codec_List;Video kodeky
Video_Delay;Video delay
Video_No;Žiadne video
Video0_Delay;Video0 delay
Video1;Prvý video stream
VideoComments;
VideoCount;Počet video streamov
View;Zobraziť
View_Hint;Zobraziť
Views;
Warning : more streams in the files;Pozor: v súboroch je viacero streamov !
Web;Web
WebSite;
WebSite_Audio;Navštív webstránku tohoto audiokodeku
WebSite_Audio_More;Vyhľadaj tento audiokodek na webstránke (%Url%)
WebSite_General;Go to the web site of a player for this file
WebSite_General_More;Go to the web site of a player for this file
WebSite_Text;Go to the web site of this text codec
WebSite_Text_More;Go to the web site (%Url%) to find this text codec
WebSite_Url;http://MediaArea.net/MediaInfo
WebSite_Video;Ísť na stránku s týmto video-kodekom
WebSite_Video_More;Vyhľadaj tento videokodek na webstránke (%Url%)
Width;Šírka
Width_CleanAperture;
Width_Original;
WriteMe;Napíš autorovi
WriteToTranslator;Napíš prekladateľovi
Written_Date;Written date
Written_Location;Written location
WrittenBy;Napísal
Yes;Áno
Your system;Váš systém
ZZ_Automatic_Percent;59
ZZ_AutomaticLanguage_Percent;63
