  Language_ISO639;it
ScreenplayBy;Sceneggiatura
Season;Stagione n.
SecondaryAudioLanguage;
see below;continua...
Send HeaderFile;Invia l'inetstazione a http://sourceforge.net/projects/mediainfo/ (Sezione bug)
Separator_Columns;Separatore colonne
Separator_Lines;Separatore linea
SeriesTitle;
ServiceChannel;Numero canale di servizio
ServiceKind;
ServiceName;Nome servizio
ServiceProvider;Fornitore servizio
ServiceType;Tipo servizio
Set;Imposta
Set_Count;Imposta contatore
Setup;Installazione
Sharpness;Nitidezza
Sheet;Scheda
Sheet (Complete);Scheda (completa)
Shell extension;Aggiungi 'Apri con MediaInfo' al menu contestuale
Shell extension, folder;Anche per le cartelle
Shell InfoTip;Informazioni in Explorer (in Explorer, spostarsi sul file e verrà visualizzate le informazioni)
ShimName;
ShimVersion;
Show menu;Mostra menu
Show toolbar;Mostra barra strumenti
SigningPresent;
SignLanguage;
Sort;Ordinato per
SoundEngineer;Tecnico del suono
Source; Sorgente
Source_Duration;Durata sorgente
Source_FrameCount;Contatore frame sorgente
Source_SamplingCount;Contatore campioni sorgente
Source_StreamSize;Dim. flusso sorgente
Source_StreamSize_Encoded;Dim. traccia codificata sorgente
Standard;Standard
StoreMethod_InterleavedFields;
StoreMethod_SeparatedFields;
StoreMethod_SeparatedFields_1;
StoreMethod_SeparatedFields_2;
Stream;Traccia
Stream_MoreInfo;Altre informazioni sulla traccia
StreamCount;Numero di tracce
StreamID;ID della traccia
streamIdentifier;
StreamKind;Tipo di traccia
StreamKindID;Identificatore traccia
StreamKindPos;Identificatore traccia
StreamSize;Dimensione della traccia
StreamSize_Demuxed;
StreamSize_Encoded;Dim. traccia codificata
StreamSize_Proportion;Proprorzioni traccia
Subject;Soggetto
Subscribe;
Subscribe_Button;
Subscribe_Failed;
Subscribe_Manage;
Subscribe_Renew;
Subscribe_Renew_Price;
Subscribe_Unaviable;
Subscribe_Waiting;
Subscription_Active;
Subscription_Android;
Subscription_Ended;
Subscription_Expired;
Subscription_Thanks;
SubTrack;Sottotitolo
Summary;Riassunto
Supported formats;Formati supportati
Supported?;Supportato?
SupportUs;
Synopsis;Sommario
SystemId;ID sistema
Tagged_Application;Applicazione utilizzata
Tagged_Date;Data
Technician;Tecnico
TermsOfUse;Indicazioni per l'uso
TertiaryAudioLanguage;
Text;Testo
Text - Custom;Testo - Personalizzato
Text (HTML);Testo (HTML)
Text stream(s);Sottotitoli
Text streams;Sottotitoli
Text_Codec_List;Codec sottotitoli
Text_No;Nessun sottotitolo
Text1;Sottotitolo 1
Text2;Sottotitolo 2
Text3;Sottotitolo 3
TextCount;Numero sottotitoli
TextlessElementsExist;
ThanksTo;Ringraziamenti
Thousands separator;Separatore delle centinaia
TimeCode;Timecode
TimeCode_FirstFrame;Timecode del primo frame
TimeCode_Settings;Impostazioni timecode
TimeCode_Source;Timecode sorgente
TimeCode_Striped;
TimeStamp;Data/ora
TimeZone;Fuso orario
Title;Titolo
Title_More;Altre info titolo
Total;Totale
TotalNumberOfParts;
TotalProgrammeDuration;
Track;Traccia
Track_Count;Numero tracce
transfer_characteristics;Caratteristiche trasferimento
Translate_Reports;
Translator;Traduttore
Tree;Albero
Tree & Text;Albero e testo
TruePeakLevel;
TruePeakLevel_Album;
Type;
UniqueID;ID univoco
UniversalAdID;
UniversalAdID_Registry;
UniversalAdID_Value;
Unknown;Sconosciuto
Url;URL
Video;Video
Video stream(s);Tracce video
Video_Codec_List;Codec video
Video_Delay;Ritardo video
Video_No;Nessuna traccia video
Video0_Delay;Ritardo video
Video1;Prima traccia video
VideoComments;
VideoCount;Tracce video
View;Visualizza
View_Hint;Visualizza suggerimenti
Views;
Warning : more streams in the files;Attenzione: ci sono diverse tracce nei file
Web;Web
WebSite;
WebSite_Audio;Vai al sito internet di questo codec audio
WebSite_Audio_More;Vai al sito internet (%Url%) per info su questo codec audio
WebSite_General;Vai al sito internet del player per questo file
WebSite_General_More;Vai al sito internet del player per questo file
WebSite_Text;Vai al sito internet per questo sottotitolo
WebSite_Text_More;Vai al sito internet (%Url%) per info su questo sottotitolo
WebSite_Url;http://MediaArea.net/MediaInfo
WebSite_Video;Vai al sito internet per info su questo codec video
WebSite_Video_More;Vai al sito internet (%Url%) per info su questo video
Width;Larghezza
Width_CleanAperture;
Width_Original;Larghezza originale
WriteMe;Invia una mail all'autore
WriteToTranslator;Invia una mail al traduttore
Written_Date;Data
Written_Location;Realizzato in
WrittenBy;Realizzato da
Yes;Si
Your system;Info sul sistema
ZZ_Automatic_Percent;86
ZZ_AutomaticLanguage_Percent;86
