  Language_ISO639;fr
Show menu;Montrer le menu
Show toolbar;Montrer la barre d'outils
SigningPresent;
SignLanguage;
Sort;Trié par
SoundEngineer;Ingénieur du son
Source;Source
Source_Duration;Durée de la source duration
Source_FrameCount;Nombre d'images de la source
Source_SamplingCount;Nombre d'échantillons de la source
Source_StreamSize;Taille du flux source
Source_StreamSize_Encoded;Taille du flux encodé source
Standard;Norme
StoreMethod_InterleavedFields;Trames entrelacées
StoreMethod_SeparatedFields;Trames séparées
StoreMethod_SeparatedFields_1;Trames séparées (1 trame par bloc)
StoreMethod_SeparatedFields_2;Trames séparées (2 trames par bloc)
Stream;Type de flux
Stream_MoreInfo;Plus d'information au sujet de ce flux
StreamCount;Nombre de pistes de ce type
StreamID;ID de flux
StreamKind;Type de flux
StreamKindID;Identifiant du flux
StreamKindPos;Identifiant du flux
StreamSize;Taille du flux
StreamSize_Demuxed;
StreamSize_Encoded;Taille du flux encodé
StreamSize_Proportion;Proportion de ce flux
Subject;Sujet
SubTrack;Sous-piste
Summary;Résumé
Supported formats;Formats supportés
Supported?;Supporté?
Synopsis;Synopsis
SystemId;Id
Tagged_Application;Application de marquage
Tagged_Date;Date de marquage
Technician;Technicien
TermsOfUse;Conditions d'utilisation
TertiaryAudioLanguage;
Text;Texte
Text - Custom;Personnalisé
Text (HTML);Texte (HTML)
Text stream(s);Piste(s) texte
Text streams;Flux texte
Text_Codec_List;Codecs Texte
Text_No;Pas de sous-titres
Text1;Première piste Texte
Text2;Deuxième piste Texte
Text3;Troisième piste Texte
TextCount;Nombre de pistes texte
TextlessElementsExist;
ThanksTo;Remerciements
Thousands separator;Séparateur de milliers
TimeCode;Time code
TimeCode_FirstFrame;Time code de la première image
TimeCode_Settings;Paramètres du time code
TimeCode_Source;Source du time code
TimeCode_Striped;time code, calculé
TimeStamp;Time stamp
TimeZone;Fuseau horaire
Title;Titre
Title_More;Titre, plus d'info
Total;Total
TotalNumberOfParts;
TotalProgrammeDuration;
Track;Piste
Track_Count;Nombre de pistes
transfer_characteristics;Caractéristiques du transfert
Translator;Traducteur
Tree;Arbre
Tree & Text;Arbre & Texte
Type;Type
UniqueID;Identifiant unique
Unknown;Inconnu
Url;Url
Video;Vidéo
Video stream(s);Piste(s) vidéo
Video_Codec_List;Codecs Video
Video_Delay;Délai par rapport Vidéo
Video_No;Pas de vidéo
Video0_Delay;Délai par rapport Vidéo0
Video1;Première piste Vidéo
VideoComments;
VideoCount;Nombre de pistes vidéo
View;Vue
View_Hint;Change la façon de voir les informations
Warning : more streams in the files;Attention : il y a davantage de flux dans les fichiers!
Web;Web
WebSite_Audio;Aller sur le site web du codec audio
WebSite_Audio_More;Aller sur le site web (%Url%) du codec audio
WebSite_General;Aller sur le site web d'un lecteur pour ce fichier
WebSite_General_More;Aller sur le site web (%Url%) d'un lecteur pour ce fichier
WebSite_Text;Aller sur le site web du codec text
WebSite_Text_More;Aller sur le site web (%Url%) du codec texte
WebSite_Url;http://MediaArea.net/MediaInfo/
WebSite_Video;Aller sur le site web du codec vidéo
WebSite_Video_More;Aller sur le site web (%Url%) du codec vidéo
Width;Largeur
Width_CleanAperture;Largeur, Clean Aperture
Width_Original;Largeur
WriteMe;écrire à l'auteur
WriteToTranslator;Écrire au traducteur
Written_Date;Date d'écriture
Written_Location;Lieu d'écriture
WrittenBy;Écrit par
Yes;Oui
Your system;Votre système
ZZ_Automatic_Percent;89
ZZ_AutomaticLanguage_Percent;93
