  Language_ISO639;pt-BR
Language_tl;Tagalog
Language_tn;Tswana
Language_to;Tonga
Language_tr;Turco
Language_ts;Tsonga
Language_tt;Tatar
Language_tw;Twi
Language_ty;Taitiano
Language_ug;Uigure
Language_uk;Ucrâniano
Language_und;
Language_ur;Urdu
Language_uz;Uzbeque
Language_ve;Venda
Language_vi;Vietnamita
Language_vo;Volapuk
Language_wa;Walloon
Language_wo;Wolof
Language_xh;Xhosa
Language_yi;Yiddish
Language_yo;Iorubá
Language_yue;Yue
Language_za;Zhuang
Language_zh;Chinês
Language_zh-cmn;Mandarim (China)
Language_zh-CN;Chinês (China)
Language_zh-cn;Chinês (China)
Language_zh-Hans;Chinês (simplificado)
Language_zh-Hant;Chinês (tradicional)
Language_zh-TW;Chinês (Taiwan)
Language_zh-tw;Chinês (Taiwan)
Language_zh-yue;Cantonês
Language_zu;Zulu
LanguageChanges;As alterações entram em vigor após reinicializar o aplicativo
Language_zxx;
LanguageChanges;
Languages;Idiomas
LawRating;Classificação
LCCN;LCCN
LegacyStreamDisplay;Exibir informações de retrocompatibilidade para áudio HD/HE e 3D/HDR
LfeAttenuationKnown;Atenuação LFE conhecida
LfeMixGain;Ganho de mixagem LFE
lfeon;
Library;Biblioteca de multiplexão
Lifetime_Subscribe_Button;Assinatura vitalícia por %PRICE%
Lightness;Iluminação
Lines_Count;Número de linhas
Lines_MaxCountPerEvent;Número máximo de linhas por evento
LineUpStart;Início da linha
LinkedTo_Bed_Pos;
LinkedTo_ChannelFormat_Pos;Formato de canal #s
LinkedTo_ComplementaryObject_Pos;Objeto complementar #s
LinkedTo_Content_Pos;Conteúdo #s
LinkedTo_Group_Pos;Grupo #s
LinkedTo_Object_Pos;Objeto #s
LinkedTo_PackFormat_Pos;Formato do pacote #s
LinkedTo_SignalGroup_Pos;Grupo de sinais #s
LinkedTo_StreamFormat_Pos;Formato de fluxo #s
LinkedTo_Substream_Pos;Subfluxo #s
LinkedTo_TrackFormat_Pos;Formato da faixa #s
LinkedTo_TrackUID_Pos;UID da faixa #s
List;Lista
LongTermLoudness;
LoRoCenterMixGain;Ganho de mixagem central LoRo
LoRoSurroundMixGain;Ganho de mixagem surround LoRo
Loudness_Anchor;Loudness âncora
Loudness_Anchor_Album;Loudness âncora (álbum)
Loudness_Count;Info. contagem de loudness
Loudness_Count_Album;Info. contagem de loudness (álbum)
Loudness_MaximumMomentary;Loudness máxima momentânea
Loudness_MaximumMomentary_Album;Loudness máxima momentânea (álbum)
Loudness_MaximumOfRange;Máximo da faixa
Loudness_MaximumOfRange_Album;Máximo da faixa (álbum)
Loudness_MaximumShortTerm;Loudness máx. de curto prazo
Loudness_MaximumShortTerm_Album;Loudness máx. de curto prazo (álbum)
Loudness_ProductionMixingLevel;Nível de mixagem de produção
Loudness_ProductionMixingLevel_Album;Nível de mixagem de produção (álbum)
Loudness_Program;Loudness do programa
Loudness_Program_Album;Loudness do programa (álbum)
Loudness_Range;Faixa de loudness
Loudness_Range_Album;Faixa de loudness (álbum)
Loudness_RoomType;Tipo de sala de produção
Loudness_RoomType_Album;Tipo de sala de produção (álbum)
LtRtCenterMixGain;Ganho de mixagem central LtRt
LtRtSurroundMixGain;Ganho de mixagem surround LtRt
Lyricist;Compositor
Lyrics;Letra
MacCreatedBy;GUI criada por Max Pozdeev
Mastered_Date;Data de criação
MasteredBy;Criado por
MasteringDisplay_ColorPrimaries;Masterizando cores primárias de exibição
MasteringDisplay_Luminance;Masterizando luminância de exibição
Matrix_Channel(s);Codificação matricial, Canal(is)
Matrix_ChannelPositions;Codificação matricial, posições de canal
matrix_coefficients;Coeficientes matriciais
matrix_coefficients_Source;
Matrix_Format;Codificação matricial, formato
MaxCLL;Nível máximo de luz do conteúdo
MaxFALL;Nível máximo de luz média por quadro
MaxGain;Ganho máximo
MaximumMomentaryLoudness;Volume máximo momentâneo
MaxTruePeak;Pico verdadeiro máximo
MD5;MD5
MD5_Unencoded;MD5 do conteúdo não codificado
MediaInfo_About;Proporciona informações detalhadas\r\nsobre um arquivo multimídia:\r\nMatroska, OGG (incluindo OGM)\r\nMPEG1 (incluindo VCD)\r\nMPEG2 (incluindo DVD e SVCD)\r\nMPEG4 (incluindo iTunes M4A)\r\nQuicktime\r\nRealMedia\r\nWindows Media (incluindo WMV, WMA)\r\nMicrosoft RIFF (incluindo AVI, WAV)\r\nArquivos de som (AC3, DTS, AAC, AU, AIFF...)
MediaInfo_About_About;MediaInfo v%MI_VERSION% usando MediaInfoLib v%MIL_VERSION%
MediaInfo_WebSite;Site do MediaInfo
Menu stream(s);Fluxos(s) de menu
Menu;Menu
Menu_Codec_List;Codecs de menu
Menu_Hint;Mais possibilidades
Menu_No;Sem menu
MenuCount;Número de fluxos de menu
MenuID;ID no Menu
Metadata_Format;Formato dos metadados
Metadata_Format_Type;Tipo do quadro de metadados
Metadata_MuxingMode;Modo de multiplexação de metadados
Minimize;Minimizar
MixType;Tipo de mixagem
mn; min
Mood;Descrição
More;Mais
Movie;Nome do Vídeo
ms; ms
MSDI;MSDI
MultipleStream;Fluxo múltiplo
MultiView_Count;Número de visualizações
MusicBy;Música de
MuxingMode;Modo de Multiplexação
MuxingMode_MoreInfo;Modo de multiplexação, mais informações
MuxingMode_PackedBitstream;Packed bitstream
Name;Nome
Nationality;Nacionalidade
NetworkName;Nome da rede
New;Novo
Newest version;Procurar novas versões (requer conexão com a Internet)
NewVersion_Menu;Uma nova versão está disponível
NewVersion_Question_Content;Uma nova verão (v%Version%) está disponível, gostaria de atualizar?
NewVersion_Question_Title;Uma nova versão foi lançada!
No;Não
Not yet;Ainda não
NumberOfChannelFormats;Número de formatos de canal
NumberOfContents;Número de conteúdos
NumberOfDynamicObjects;Número de objetos dinâmicos
NumberOfElementaryStreams;Número de fluxos elementares
NumberOfObjects;Número de objetos
NumberOfPackFormats;Número de formatos de pacote
NumberOfPresentations;Número de apresentações
NumberOfProgrammes;Número de programas
NumberOfStreamFormats;Número de formatos de fluxo
NumberOfSubstreams;Número de subfluxos
NumberOfTrackFormats;Número de formatos de faixa
NumberOfTrackUIDs;Número de UIDs de faixa
NumColors;Número de cores
Object;Objeto
ObjectCount;Contagem de Objetos
OK;OK
One output file per input file;Um arquivo de saída por um de entrada
OnlyDiffer;Apenas os campos com diferenças
OnlyIdentical;Apenas os campos idênticos
Open;Abrir
OpenCaptionsLanguage;Idioma de legendas abertas
OpenCaptionsPresent;Legendas abertas presentes
OpenCaptionsType;Tipo de legendas abertas
OpenFile;Abrindo arquivo(s) %INDEX% de %COUNT% …
OpenFileError;Não foi possível abrir %FILE%
OpenRecent;Abrir recente
Options;Opções
Options_Hint;Preferências
Original;Original
OriginalNetworkName;Nome original da rede
OriginalSourceForm;Formato original
OriginalSourceMedium;Meio original
OriginalSourceMedium_ID;ID na mídia de origem original
Originator;Autor
Other;Outro
OtherIdentifier;Outro ID
OtherIdentifierType;Tipo de outro ID
OtherViews;Outras visualizações
Output format;Formato de saída
Output;Saída
OverallBitRate;Taxa de Bits Total
OverallBitRate_Maximum;Taxa de Bits Total Máxima
OverallBitRate_Minimum;Taxa de Bits Total Mínima
OverallBitRate_Mode;Taxa de Bits Total, Modo
OverallBitRate_Nominal;Taxa de Bits Total, Nominal
OverallBitRate_Precision_Max;
OverallBitRate_Precision_Min;
PackageName;Nome do Pacote
PackFormat;Formato do pacote
Part;Parte
Part_Count;Número total
PartialParsing;Análise parcial
PartNumber;Número da parte
PartTotal;Total da parte
Performer;Intérprete
Period;Período
Phase90FilterInfo;
Phase90FilterInfo2ch;
Phone;Telefone
PictureRatio;Proporção da imagem
PixelAspectRatio;Proporção de pixels
PixelAspectRatio_CleanAperture;
PixelAspectRatio_Original;Proporção de pixels original
PlayCounter;Reproduzido
Played_Count;Vezes reproduzido
Played_First_Date;Reproduzido pela primeira vez
Played_Last_Date;Reproduzido pela última vez
PlayTime;Duração
PodcastCategory;Categoria do podcast
PortableHeadphones;Fones de ouvido portáteis
PortableSpeakers;Caixas de som portáteis
Position;Posição
Position_Cartesian;Posição (cartesiana)
Position_Polar;Posição (polar)
Position_Total;Total
Preferences;Preferências
PreferredDownmix;Downmix preferido
Premium;Premium
Premium_Feature;Recurso premium do MediaInfo
Premium_Summary;Recursos para assinantes Premium
PreselectionLabel;Rótulo de pré-seleção
Presentation;Apresentação
PresentationConfig;Configuração da apresentação
PresentationConfig_ContentClassifier;Config. apres. a partir de classificadores de conteúdo
PresentationID;ID da Apresentação
PresentationLevel;Nível da apresentação
PreviousDownmixType5ch;
PreviousMixType2ch;
PrimaryAudioLanguage;Idioma principal de áudio
Producer;Produtor
ProductionDesigner;Designer de Produção
ProductionNumber;Número de produção
ProductionStudio;Estúdio de Produção
ProductPlacement;Colocação em produção
Program name;Nome do programa
Programme;Programa
ProgrammeHasText;Programa contém texto
ProgrammeTextLanguage;Idioma do texto do programa
ProgrammeTitle;Título do programa
Publisher;Publicador
Purchased_Date;Data de aquisição
PurchaseInformation;Informações sobre a compra no aplicativo
Quote character;Caractere de citação
RadioStation;Estação de Rádio
Rating;Classificação
RealtimeLoudnessCorrected;Correção de volume em tempo real
Recorded_Date;Data de gravação
Recorded_Location;Local de gravação
Reel;Rolo
Released_Date;Data de lançamento
RemixedBy;Remixado por
RenderMode;Modo de renderização
Renew;Renovar
ReplayGain_Gain;Replay gain
ReplayGain_Peak;Pico do replay gain
Report;Reportar
ReportBy;Reportado por
Resolution;Resolução
RestoreLifetimeSubscription;Restaurar assinatura vitalícia
Retry;Tentar de novo
s;s
Sampled_Height;
Sampled_Width;
SamplePeakLevel;Nível de pico da amostra
SamplePeakLevel_Album;Nível de pico da amostra (álbum)
SamplesPerFrame;Amostras por quadro
SamplingCount;Contagem de amostras
SamplingCount_Source;
SamplingRate;Taxa de amostragem
Save;Salvar
ScanOrder;Ordem de Scan
ScanOrder_Original;Ordem de Scan original
ScanOrder_Stored;Ordem de Scan armazenada
ScanOrder_StoredDisplayedInverted;Ordem de Scan, ordem de armazenamento/exibição invertida
ScanOrder_StoreMethod;Ordem de Scan, método de armazenamento
ScanType;Tipo de Scan
ScanType_Original;Tipo de Scan original
ScanType_StoreMethod;Tipo de Scan, método de armazenamento
ScreenplayBy;Roteiro de
ScreenToCenter;Tela para o centro
ScreenToFront;Tela para a frente
Season;Temporada
SecondaryAudioLanguage;Idioma de áudio secundário
see below;veja abaixo
Select your directory;
SelectAll;Selecionar Tudo
Send HeaderFile;Enviar arquivo de cabeçalho
Separator_Columns;separador de colunas
Separator_Lines;separador de linhas
SeriesTitle;Título da série
ServiceChannel;Número do canal do serviço
ServiceKind;Tipo de serviço
ServiceName;Nome do serviço
ServiceProvider;Provedor do serviço
Services;Serviços
ServiceType;Tipo de serviço
Set;Ajustar
Set_Count;Ajustar contador
Setup;Configurações
Sharpness;Nitidez
Sheet (Complete);Formulário (Completo)
Sheet;Formulário
Shell extension, folder;Também para pastas
Shell extension, separate instance;Abrir cada item em uma instância separada
Shell extension;Extensão shell (no explorer, botão direito haverá uma opção Media Info)
Shell InfoTip;Info. Shell (no explorer, mova o mouse sobre o arquivo, a info. será exibida)
ShimName;Nome do Shim
ShimVersion;Versão do Shim
Show menu;Exibir menu
Show toolbar;Exibir barra de ferramentas
Show;Exibir
ShowAll;Mostrar Tudo
ShowMore;Exibir mais informações na saída, incluindo diferentes formatos de tempo ou duração
SignalGroup;Grupo de sinais
SigningPresent;
SignLanguage;Língua de sinais
Sort;Ordenado por
SoundCategory;Categoria de som
SoundEngineer;Engenheiro de som
Source;Fonte
Source_Duration;Duração da fonte
Source_FrameCount;Contagem de quadros de origem
Source_SamplingCount;Contagem de amostras de origem
Source_StreamSize;Tamanho do fluxo de origem
Source_StreamSize_Encoded;Codificado
SpokenSubtitles;Legendas faladas
Standard;Norma
Stored_Height;
StoreMethod_InterleavedFields;Campos intercalados
StoreMethod_SeparatedFields;Campos separados
StoreMethod_SeparatedFields_1;Campos separados (1 campo por bloco)
StoreMethod_SeparatedFields_2;Campos separados (2 campos por bloco)
Stream;Fluxo
Stream_MoreInfo;Mais informações sobre este fluxo
StreamCount;Número de fluxos do mesmo tipo
StreamFormat;Formato do fluxo
StreamID;ID do Fluxo
streamIdentifier;identificador do fluxo
StreamKind;Tipo do Fluxo
StreamKindID;Tipo do Fluxo/ID
StreamKindPos;Tipo do Fluxo/Pos
StreamOrder;Ordem do fluxo
Streams;Fluxos
StreamSize;Tamanho do Fluxo
StreamSize_Demuxed;Tamanho do fluxo após a desmultiplexação
StreamSize_Encoded;Tamanho do fluxo codificado
StreamSize_Proportion;Proporção desse fluxo
Subject;Assunto
Subscribe;Assine
Subscribe_Button;Assine (%PRICE% por um ano)
Subscribe_Failed;Compra cancelada ou com falha
Subscribe_Manage;Gerenciar assinatura
Subscribe_Premium;Assine para recursos premium
Subscribe_Renew;Renovar assinatura?
Subscribe_Renew_Price;Renovar assinatura (%PRICE% por um ano)
Subscribe_Unaviable;Não foi possível recuperar os detalhes da assinatura.
Subscribe_Waiting;Compra aguardando aprovação dos pais
Subscription_Active;Assinatura ativa até %DATE%
Subscription_Android;Período de teste gratuito de 3 dias.
Subscription_Ended;Sua assinatura acaba de expirar.
Subscription_Expired;Assinatura expirada desde %DATE%
Subscription_Lifetime;Assinatura vitalícia detectada
Subscription_Thanks;Assinatura detectada. Obrigado pelo seu apoio!
Substream;Subfluxo
SubTrack;Sub-Faixa
SubtstreamIdChannel;ID de início do subfluxo e índice do canal
Summary;Sumário
Supported formats;Formatos suportados
Supported?;Suportado?
SupportUs;Apoie-nos. Obtenha o tema escuro e mais recursos que estão por vir.
SupportUs2;Apoie-nos assinando e obtenha recursos exclusivos.
surmixlev;
SurroundAttenuationKnown;Atenuação surround conhecida
SwitchGroup;
Synopsis;Sinopse
SystemId;Id
Tagged_Application;Programa Alvo
Tagged_Date;Data rotulada
TargetDeviceConfig;Configuração do dispositivo de destino
Technician;Técnico
TermsOfUse;Termos de uso
TertiaryAudioLanguage;Idioma de áudio terciário
TestContinuousFileNames;Detectar nomes de arquivos contínuos
Text - Custom;Texto - Personalizado
Text (HTML);Texto (HTML)
Text stream(s);Fluxos de texto
Text streams;Fluxos de texto
Text;Texto
Text_Codec_List;Codecs de texto
Text_Format_List;
Text_Format_WithHint_List;
Text_Language_List;
Text_No;Sem texto
Text1;Primeiro fluxo de texto
Text2;Segunda
Text3;Terceira
TextCount;Número de fluxos de texto
TextlessElementsExist;Existem elementos sem texto
ThanksTo;Obrigado à
Thousands separator;Separador de milhar
TimeCode;Código de Tempo
TimeCode_FirstFrame;Código de Tempo do primeiro quadro
TimeCode_LastFrame;Código de Tempo do último quadro
TimeCode_MaxFrameNumber;Número máximo de quadros em códigos de tempo
TimeCode_MaxFrameNumber_Theory;Número máximo teórico de quadros em códigos de tempo
TimeCode_Settings;Configurações de código de tempo
TimeCode_Source;Fonte do código de tempo
TimeCode_Stripped;Código de tempo, sem formatação
TimeStamp;Carimbo de data e hora
TimeZone;Hora local
Title;Título
Title_More;Título, mais info.
Top4ToTop2;
TopBackToFront;
TopBackToSide;
TopFrontToBack;
TopFrontToFront;
TopFrontToSide;
Total;Total
TotalNumberOfParts;Número total de partes
TotalProgrammeDuration;Duração total do programa
Track;Nome da faixa
Track_Count;Número da faixa
TrackFormat;Formato da faixa
TrackIndex;Índice de faixas
TrackUID;UID da faixa
transfer_characteristics;Características de transferência
transfer_characteristics_Source;
Translate_Reports;Relatórios de tradução
Translator;Tradutor
Transport;Transporte
Tree & Text;Raiz e Texto
Tree;Raiz
Trim_Center;Ajuste do canal central
Trim_Height;Ajuste dos canais de altura
Trim_Surround;Ajuste dos canais surround
TrimMode;Modo de ajuste
TrimMode0i;Modo de ajuste para 2.0
TrimMode1i;Modo de ajuste para 5.1
TrimMode2i;Modo de ajuste para 7.1
TrimMode3i;Modo de ajuste para 2.1.2
TrimMode4i;Modo de ajuste para 5.1.2
TrimMode5i;Modo de ajuste para 7.1.2
TrimMode6i;Modo de ajuste para 2.1.4
TrimMode7i;Modo de ajuste para 5.1.4
TrimMode8i;Modo de ajuste para 7.1.4
TruePeakLevel;Nível de pico verdadeiro
TruePeakLevel_Album;Nível de pico verdadeiro (álbum)
Type;Tipo
Type_Composer;Compositor
Type_Conductor;Condutor
Type_Cover;Capa
Type_Cover_Back;Contracapa
Type_Cover_Media;Capa (mídia)
Type_DuringPerformance;Durante a apresentação
Type_DuringRecording;Durante a gravação
Type_FileIcon;Arquivo de ícone
Type_FileIcon_32x32;Arquivo de ícone (32x32)
Type_Illustration;Ilustração
Type_LeafletPage;Página do folheto
Type_Lyricist;Letrista
Type_Performer;Intérprete
Type_Performer_Lead;Intérprete (principal)
Type_PerformerLogo;Logotipo do intérprete
Type_Picture;Foto
Type_PublisherLogo;Logotipo do publicador
Type_RecordingLocation;Local de gravação
Type_ScreenCapture;Captura de tela
Type_Thumbnail;Miniatura
TypeDefinition;Definição de tipo
UniqueID;ID Único
UniversalAdID;ID Universal de Anúncios
UniversalAdID_Registry;Registro do ID Universal de Anúncios
UniversalAdID_Value;Valor do ID Universal de Anúncios
Unknown;Desconhecido
Url;Url
Value;Valor
Video stream(s);Fluxos(s) de Vídeo
Video;Vídeo
Video_Codec_List;Codecs de Vídeo
Video_Delay;Atraso do Vídeo
Video_Format_List;
Video_Format_WithHint_List;
Video_Language_List;
Video_No;Sem Vídeo
Video0_Delay;Atraso do Video0
Video1;Primeiro fluxo de vídeo
Video2;Segundo fluxo de vídeo
Video3;Terceiro fluxo de vídeo
VideoComments;Comentários em vídeo
VideoCount;Número de fluxos de vídeo
View;Exibir
View_Hint;Mudar o modo de exibição das informações
Views;Visualizações
Warning : more streams in the files;Aviso : mais de um fluxo nos arquivos
Web;Web
WebSite;Site
WebSite_Audio;Ir até o site deste codec de áudio
WebSite_Audio_More;No site (%Url%) você encontra este codec de áudio
WebSite_General;Ir até o site que oferece um reprodutor para esse arquivo
WebSite_General_More;Ir até o site que oferece um reprodutor para esse arquivo
WebSite_Text;Ir até o site deste codec de texto
WebSite_Text_More;No site (%Url%) você encontra este codec de texto
WebSite_Url;http://MediaArea.net/MediaInfo
WebSite_Video;Ir até o site deste codec de vídeo
WebSite_Video_More;No site (%Url%) você encontra este codec de vídeo
Width;Largura
Width_CleanAperture;Largura da abertura limpa
Width_Original;Largura original
Window;Janela
WriteMe;Me escreva
WriteToTranslator;Escreva para o tradutor
Written_Date;Data da escrita
Written_Location;Local da escrita
WrittenBy;Escrito por
Yes;Sim
Your system;Seu sistema
Your translation;Sua tradução
Zoom;Ampliar/Reduzir
ZZ_Automatic_Percent;65
ZZ_AutomaticLanguage_Percent;69
