  Language_ISO639;pl
Separator_Columns;Separator kolumn
Separator_Lines;Separator wierszy
SeriesTitle;
ServiceChannel;Numer kanału usługowego
ServiceKind;
ServiceName;Nazwa usługi
ServiceProvider;Dostawca usługi
ServiceType;Rodzaj usługi
Set;Zestaw
Set_Count;Liczba zestawu
Setup;Ustawienia
Sharpness;Wygładzanie
Sheet;Karta
Sheet (Complete);Karta (komplet)
Shell extension;Rozszerzenie powłoki (menu kontekstowe w eksploratorze)
Shell extension, folder;Także dla folderów
Shell InfoTip;Informacje powłoki (w eksploratorze najedź kursorem na plik, wyświetlą się informacje)
ShimName;
ShimVersion;
Show menu;Pokaż menu
Show toolbar;Pokaż pasek narzędzi
SigningPresent;
SignLanguage;
Sort;Sortowane po
SoundEngineer;Inżynier dźwięku
Source;
Source_Duration;
Source_FrameCount;
Source_SamplingCount;
Source_StreamSize;
Source_StreamSize_Encoded;
Standard;Standard
StoreMethod_InterleavedFields;
StoreMethod_SeparatedFields;
StoreMethod_SeparatedFields_1;
StoreMethod_SeparatedFields_2;
Stream;Strumień
Stream_MoreInfo;Więcej informacji o strumieniu
StreamCount;Liczba strumieni
StreamID;ID strumienia
streamIdentifier;
StreamKind;Rodzaj strumienia
StreamKindID;Identyfikator strumienia
StreamKindPos;Identyfikator strumienia
StreamSize;Rozmiar strumienia
StreamSize_Demuxed;
StreamSize_Encoded;
StreamSize_Proportion;Proporcje strumienia
Subject;Temat
Subscribe;
Subscribe_Button;
Subscribe_Failed;
Subscribe_Manage;
Subscribe_Renew;
Subscribe_Renew_Price;
Subscribe_Unaviable;
Subscribe_Waiting;
Subscription_Active;
Subscription_Android;
Subscription_Ended;
Subscription_Expired;
Subscription_Thanks;
SubTrack;Podnagranie
Summary;Podsumowanie
Supported formats;Obsługiwane formaty
Supported?;Obsługiwane?
SupportUs;
Synopsis;Streszczenie
SystemId;ID
Tagged_Application;Znakująca aplikacja
Tagged_Date;Znakowana data
Technician;Technik
TermsOfUse;Zasady korzystania
TertiaryAudioLanguage;
Text;Tekst
Text - Custom;Tekst - własny
Text (HTML);Tekst (HTML)
Text stream(s);Strumienie napisów
Text streams;Strumienie napisów
Text_Codec_List;Kodeki napisów
Text_No;Brak napisów
Text1;Pierwszy strumień napisów
Text2;Drugi strumień napisów
Text3;Trzeci strumień napisów
TextCount;Strumieni napisów
TextlessElementsExist;
ThanksTo;Podziękowania dla
Thousands separator;Separator tysiecy
TimeCode;
TimeCode_FirstFrame;
TimeCode_Settings;
TimeCode_Source;
TimeCode_Striped;
TimeStamp;
TimeZone;Strefa czasowa
Title;Tytuł
Title_More;Tytuł, wiecej informacji
Total;Łącznie
TotalNumberOfParts;
TotalProgrammeDuration;
Track;Tytuł nagrania
Track_Count;Liczba nagrań
transfer_characteristics;
Translate_Reports;
Translator;Tłumacz
Tree;Drzewo
Tree & Text;Drzewo i tekst
TruePeakLevel;
TruePeakLevel_Album;
Type;
UniqueID;
UniversalAdID;
UniversalAdID_Registry;
UniversalAdID_Value;
Unknown;Nieznany
Url;url
Video;Wideo
Video stream(s);Strumień(ie) wideo
Video_Codec_List;Kodeki wideo
Video_Delay;Opóźnienie wideo
Video_No;Brak wideo
Video0_Delay;Opóźnienie wideo 0
Video1;Pierwszy strumień wideo
VideoComments;
VideoCount;Strumieni wideo
View;Widok
View_Hint;Zmienia sposób wyświetlania informacji
Views;
Warning : more streams in the files;Ostrzeżenie: Jest więcej strumieni w pliku
Web;Sieć
WebSite;
WebSite_Audio;Odwiedź witrynę tego kodeka audio
WebSite_Audio_More;Odwiedź witrynę (%Url%) aby poszukać kodeka audio
WebSite_General;Odwiedź witrynę odtwarzacza dla tego pliku
WebSite_General_More;Odwiedź witrynę odtwarzacza dla tego pliku
WebSite_Text;Odwiedź witrynę tego kodeka napisów
WebSite_Text_More;Odwiedź witrynę (%Url%) aby poszukać kodeka napisów
WebSite_Url;http://MediaArea.net/MediaInfo
WebSite_Video;Odwiedź witrynę tego kodeka wideo
WebSite_Video_More;Odwiedź witrynę (%Url%) aby poszukać kodeka wideo
Width;Szerokość
Width_CleanAperture;
Width_Original;
WriteMe;Napisz do mnie
WriteToTranslator;Napisz do tłumacza
Written_Date;Data
Written_Location;Lokalizacja
WrittenBy;Napisał
Yes;Tak
Your system;System
ZZ_Automatic_Percent;70
ZZ_AutomaticLanguage_Percent;82
