  Language_ISO639;eu
LinkedTo_Bed_Pos;
LinkedTo_ChannelFormat_Pos;
LinkedTo_ComplementaryObject_Pos;
LinkedTo_Content_Pos;
LinkedTo_Group_Pos;
LinkedTo_Object_Pos;
LinkedTo_PackFormat_Pos;
LinkedTo_SignalGroup_Pos;
LinkedTo_StreamFormat_Pos;
LinkedTo_Substream_Pos;
LinkedTo_TrackFormat_Pos;
LinkedTo_TrackUID_Pos;
List;Zerrenda
LongTermLoudness;
LoRoCenterMixGain;
LoRoSurroundMixGain;
Loudness_Anchor;
Loudness_Anchor_Album;
Loudness_Count;
Loudness_Count_Album;
Loudness_MaximumMomentary;
Loudness_MaximumMomentary_Album;
Loudness_MaximumOfRange;
Loudness_MaximumOfRange_Album;
Loudness_MaximumShortTerm;
Loudness_MaximumShortTerm_Album;
Loudness_ProductionMixingLevel;
Loudness_ProductionMixingLevel_Album;
Loudness_Program;
Loudness_Program_Album;
Loudness_Range;
Loudness_Range_Album;
Loudness_RoomType;
Loudness_RoomType_Album;
LtRtCenterMixGain;
LtRtSurroundMixGain;
Lyricist;Abestien idazlea
Lyrics;Letrak
MacCreatedBy;
Mastered_Date;Masterizatze eguna
MasteredBy;Masterizatzailea
MasteringDisplay_ColorPrimaries;
MasteringDisplay_Luminance;
Matrix_Channel(s);
Matrix_ChannelPositions;
matrix_coefficients;Matrize ezaugarriak
matrix_coefficients_Source;
Matrix_Format;
MaxCLL;
MaxFALL;
MaxGain;
MaximumMomentaryLoudness;
MaxTruePeak;
MD5;
MD5_Unencoded;
MediaInfo_About;MediaInfo-k sarbide erraza eskaintzen du bideo eta audio agirien argibide teknikoetara eta etiketara.\r\nSoftware askea da, honek esanahi du dohainekoa dela erabiltzaileentzat eta garatzaileek askatasuna dutela ikertzeko, hobetzeko eta programa birbanatzeko (BSD baimena)
MediaInfo_About_About;
MediaInfo_WebSite;
Menu stream(s);Menu jarioak
Menu;Menua
Menu_Codec_List;Menu kodekak
Menu_Hint;Aukera gehiago
Menu_No;Menurik ez
MenuCount;Menu jario zenbatekoa
MenuID;Menu ID-a
Metadata_Format;Metadata formatua
Metadata_Format_Type;
Metadata_MuxingMode;
Minimize;
MixType;
mn; 
Mood;Modua
More;Gehiago
Movie;Filma izena
ms; 
MSDI;MSDI
MultipleStream;
MultiView_Count;
MusicBy;Musikaria
MuxingMode;Nahasketa modua
MuxingMode_MoreInfo;Nahasketa modua, informazio gehiago
MuxingMode_PackedBitstream;Paketatutako bit-jarioa
Name;Izena
Nationality;Herrialdetasuna
NetworkName;Sare izena
New;Berria
Newest version;Egiaztatu bertsio berririk dagoen (beharrezkoa Internet konexioa)
NewVersion_Menu;Bertsio berri bat eskuragarri dago
NewVersion_Question_Content;Bertsio berri bat (v%Version%) eskuragarri dago, jeistea nahi duzu?
NewVersion_Question_Title;Bertsio berri bat argitaratu da!
No;Ez
Not yet;Oraindik ez
NumberOfChannelFormats;
NumberOfContents;
NumberOfDynamicObjects;
NumberOfElementaryStreams;
NumberOfObjects;
NumberOfPackFormats;
NumberOfPresentations;
NumberOfProgrammes;
NumberOfStreamFormats;
NumberOfSubstreams;
NumberOfTrackFormats;
NumberOfTrackUIDs;
NumColors;Kolore zenbatekoa
Object;
ObjectCount;
OK;Ongi
One output file per input file;Irteera fitxategi bat sarrera fitxategiko
OnlyDiffer;
OnlyIdentical;
Open;Ireki
OpenCaptionsLanguage;
OpenCaptionsPresent;
OpenCaptionsType;
OpenFile;
OpenFileError;
OpenRecent;
Options;Aukerak
Options_Hint;Hobespenak
Original;Jatorrizkoa
OriginalNetworkName;Jatorrizko sare-izena
OriginalSourceForm;Jatorrizko iturburua forma
OriginalSourceMedium;Jatorrizko iturburu tartekoa
OriginalSourceMedium_ID;
Originator;
Other;Besterik
OtherIdentifier;
OtherIdentifierType;
OtherViews;
Output format;Irteera formatua
Output;Irteera
OverallBitRate;Bit-ratioa guztira
OverallBitRate_Maximum;Gehienezko bit-ratio guztira
OverallBitRate_Minimum;Gutxienezko bit-ratio guztira
OverallBitRate_Mode;Bit-ratio modua guztira
OverallBitRate_Nominal;Bit-ratio nominala guztira
OverallBitRate_Precision_Max;
OverallBitRate_Precision_Min;
PackageName;
PackFormat;
Part;Zatia
Part_Count;Zenbatekoa guztira
PartialParsing;
PartNumber;
PartTotal;
Performer;Egilea
Period;Aldia
Phase90FilterInfo;
Phase90FilterInfo2ch;
Phone;Telefonoa
PictureRatio;
PixelAspectRatio;Pixel aspektu-ratioa
PixelAspectRatio_CleanAperture;
PixelAspectRatio_Original;Jatorrizko aspektu-ratioa
PlayCounter;Erreprodukzio-zenbatzailea
Played_Count;Erreprodukzio kopurua
Played_First_Date;Lehen erreproduzitua
Played_Last_Date;Azken erreproduzitua
PlayTime;Erreprodukzio-denbora
PodcastCategory;
PortableHeadphones;
PortableSpeakers;
Position;Kokapena
Position_Cartesian;
Position_Polar;
Position_Total;Guztira
Preferences;Hobespenak
PreferredDownmix;
Premium;
Premium_Feature;
Premium_Summary;
PreselectionLabel;
Presentation;
PresentationConfig;
PresentationConfig_ContentClassifier;
PresentationID;
PresentationLevel;
PreviousDownmixType5ch;
PreviousMixType2ch;
PrimaryAudioLanguage;
Producer;Ekoizlea
ProductionDesigner;Ekoizpen diseinatzailea
ProductionNumber;
ProductionStudio;Ekoizpen estudioa
ProductPlacement;
Program name;
Programme;
ProgrammeHasText;
ProgrammeTextLanguage;
ProgrammeTitle;
Publisher;Argitaratzailea
Purchased_Date;Erosketa data
PurchaseInformation;
Quote character;Kakotxa karakterea
RadioStation;Irrati katea
Rating;Mailaketa
RealtimeLoudnessCorrected;
Recorded_Date;Grabaketa eguna
Recorded_Location;Grabaketa helbidea
Reel;
Released_Date;Argitaratze eguna
RemixedBy;Bernahastzailea
RenderMode;
Renew;
ReplayGain_Gain;Errepikapenaren irabazia
ReplayGain_Peak;Errepikapenaren irabazi gailurra
Report;
ReportBy;
Resolution;Bereizmena
RestoreLifetimeSubscription;
Retry;
s;s
Sampled_Height;
Sampled_Width;
SamplePeakLevel;
SamplePeakLevel_Album;
SamplesPerFrame;
SamplingCount;Lagin kopurua
SamplingCount_Source;
SamplingRate;Laginketa ratioa
Save;Gorde
ScanOrder;Mihaketa hurrenkera
ScanOrder_Original;
ScanOrder_Stored;
ScanOrder_StoredDisplayedInverted;
ScanOrder_StoreMethod;
ScanType;Mihaketa mota
ScanType_Original;
ScanType_StoreMethod;
ScreenplayBy;Gidoilaria
ScreenToCenter;
ScreenToFront;
Season;Denboraldia
SecondaryAudioLanguage;
see below;ikusi behean
Select your directory;
SelectAll;
Send HeaderFile;Mesedez bidalidazu Idazburu agiria hona : http://sourceforge.net/projects/mediainfo/ (Akats arloa)
Separator_Columns;Zutabe banantzailea
Separator_Lines;Lerro banatzailea
SeriesTitle;
ServiceChannel;Zerbitzuaren kanal kopurua
ServiceKind;
ServiceName;Zerbitzuaren izena
ServiceProvider;Zerbitzu hornitzailea
Services;
ServiceType;Zerbitzu mota
Set;Ezarri
Set_Count;Ezarri kopurua
Setup;Ezarpenak
Sharpness;Garbitasuna
Sheet (Complete);Orria (Osoa)
Sheet;Orria
Shell extension, folder;Karpetentzat ere bai
Shell extension, separate instance;
Shell extension;Arakatzailearen hedapena (eskuin-klik egin fitxategian, MediaInfo aukera bat egongo da)
Shell InfoTip;Explorer Tresnaburua (Explorerrean, mugitu sagua agiriaren gainean, argibideak erakutsiko dira)
ShimName;
ShimVersion;
Show menu;Erakutsi menua
Show toolbar;Erakutsi tresna-barra
Show;
ShowAll;
ShowMore;
SignalGroup;
SigningPresent;
SignLanguage;
Sort;Ordenatu honela
SoundCategory;
SoundEngineer;Soinu ingeniaria
Source;Iturburua
Source_Duration;Iturburu iraupena
Source_FrameCount;Iturburu fotograma zenbatekoa
Source_SamplingCount;Iturburu lagin zenbatekoa
Source_StreamSize;Iturburu jario neurria
Source_StreamSize_Encoded;Iturburu kodeaketa jario neurria
SpokenSubtitles;
Standard;Estandarra
Stored_Height;
StoreMethod_InterleavedFields;
StoreMethod_SeparatedFields;
StoreMethod_SeparatedFields_1;
StoreMethod_SeparatedFields_2;
Stream;Jarioa
Stream_MoreInfo;Jarioari buruzko informazio gehiago
StreamCount;Mota honetako jario kopurua
StreamFormat;
StreamID;Jario ID-a
streamIdentifier;
StreamKind;Jario Mota
StreamKindID;Jario ezagutarazlea
StreamKindPos;Jario ezagutarazlea
StreamOrder;
Streams;
StreamSize;Jario neurria
StreamSize_Demuxed;
StreamSize_Encoded;Kodeaketa jario neurria
StreamSize_Proportion;Jario honen proporzioa
Subject;Gaia
Subscribe;
Subscribe_Button;
Subscribe_Failed;
Subscribe_Manage;
Subscribe_Premium;
Subscribe_Renew;
Subscribe_Renew_Price;
Subscribe_Unaviable;
Subscribe_Waiting;
Subscription_Active;
Subscription_Android;
Subscription_Ended;
Subscription_Expired;
Subscription_Lifetime;
Subscription_Thanks;
Substream;
SubTrack;Azpibidea
SubtstreamIdChannel;
Summary;Laburpena
Supported formats;Onartutako formatuak
Supported?;Onartua?
SupportUs;
SupportUs2;
surmixlev;
SurroundAttenuationKnown;
SwitchGroup;
Synopsis;Laburpena
SystemId;Id-a
Tagged_Application;Aplikazio etiketatzea
Tagged_Date;Etiketatze eguna
TargetDeviceConfig;
Technician;Teknikaria
TermsOfUse;Erabilpen baldintzak
TertiaryAudioLanguage;
TestContinuousFileNames;
Text - Custom;Testua - Egilea
Text (HTML);Testua (HTML)
Text stream(s);Testu jarioak
Text streams;Testu jarioak
Text;Testua
Text_Codec_List;Testu kodekak
Text_Format_List;
Text_Format_WithHint_List;
Text_Language_List;
Text_No;Idazkirik ez
Text1;Lehen testu jarioa
Text2;Bigarren testu jarioa
Text3;Hirugarren testu jarioa
TextCount;testu jario zenbatekoa
TextlessElementsExist;
ThanksTo;Eskerrak
Thousands separator;Milaka bananatzaile
TimeCode;Denbora-kodea
TimeCode_FirstFrame;Denbora-kodea, lehen Framea
TimeCode_LastFrame;
TimeCode_MaxFrameNumber;
TimeCode_MaxFrameNumber_Theory;
TimeCode_Settings;Denbora-kodea, ezarpenak
TimeCode_Source;Denbora-kodea, iturburua
TimeCode_Stripped;
TimeStamp;TimeZone
TimeZone;Ordu-Eremua
Title;Izenburua
Title_More;Izenburua, informazio gehiago
Top4ToTop2;
TopBackToFront;
TopBackToSide;
TopFrontToBack;
TopFrontToFront;
TopFrontToSide;
Total;Guztira
TotalNumberOfParts;
TotalProgrammeDuration;
Track;Pistaren izena
Track_Count;Pista kopurua
TrackFormat;
TrackIndex;
TrackUID;
transfer_characteristics;Eskualdaketa ezaugarriak
transfer_characteristics_Source;
Translate_Reports;
Translator;Itzultzailea
Transport;
Tree & Text;Zuhaitza eta Testua
Tree;Zuhaitza
Trim_Center;
Trim_Height;
Trim_Surround;
TrimMode;
TrimMode0i;
TrimMode1i;
TrimMode2i;
TrimMode3i;
TrimMode4i;
TrimMode5i;
TrimMode6i;
TrimMode7i;
TrimMode8i;
TruePeakLevel;
TruePeakLevel_Album;
Type;Mota
Type_Composer;
Type_Conductor;
Type_Cover;
Type_Cover_Back;
Type_Cover_Media;
Type_DuringPerformance;
Type_DuringRecording;
Type_FileIcon;
Type_FileIcon_32x32;
Type_Illustration;
Type_LeafletPage;
Type_Lyricist;
Type_Performer;
Type_Performer_Lead;
Type_PerformerLogo;
Type_Picture;
Type_PublisherLogo;
Type_RecordingLocation;
Type_ScreenCapture;
Type_Thumbnail;
TypeDefinition;
UniqueID;ID bakarra
UniversalAdID;
UniversalAdID_Registry;
UniversalAdID_Value;
Unknown;Ezezaguna
Url;Url-a
Value;
Video stream(s);Bideo jarioa(k)
Video;Bideoa
Video_Codec_List;Bideo Kodekak
Video_Delay;Bideoarekiko atzerapena
Video_Format_List;
Video_Format_WithHint_List;
Video_Language_List;
Video_No;Bideorik ez
Video0_Delay;Bideo0 atzerapena
Video1;Lehen bideo jarioa
Video2;
Video3;
VideoComments;
VideoCount;Bideo jario kopurua
View;Ikusi
View_Hint;Aldatu informazioa ikusteko modua
Views;
Warning : more streams in the files;Kontuz : jario gehiago daude fitxategietan
Web;Web
WebSite;Webgunea
WebSite_Audio;Joan audio kodek honen webgunera
WebSite_Audio_More;Joan webgunera (%Url%) audio kodek hau bilatzeko
WebSite_General;Joan fitxategi honentzako irakurgailu webgunera
WebSite_General_More;Joan fitxategi honentzako irakurgailu webgunera
WebSite_Text;Joan testu kode honen webgunera
WebSite_Text_More;Joan webgunera (%Url%) testu kodek hau bilatzeko
WebSite_Url;http://MediaArea.net/MediaInfo
WebSite_Video;Joan bideo kodek honen webgunera
WebSite_Video_More;Joan webgunera (%Url%) bideo kodek hau bilatzeko
Width;Zabalera
Width_CleanAperture;
Width_Original;Jatorrizko zabalera
Window;
WriteMe;Idatzi post@ egileari
WriteToTranslator;Idatzi itzultzaileari
Written_Date;Idazte eguna
Written_Location;Idazte helbidea
WrittenBy;Idazlea
Yes;Bai
Your system;Zure sistema
Your translation;Zure itzulpena
Zoom;
ZZ_Automatic_Percent;67
ZZ_AutomaticLanguage_Percent;68
