  Language_ISO639;nl
OpenCaptionsLanguage;
OpenCaptionsPresent;
OpenCaptionsType;
Options;Opties
Options_Hint;Voorkeuren
Original;Origineel
OriginalNetworkName;
OriginalSourceForm;Originele bronvorm
OriginalSourceMedium;Originele bronmedium
OriginalSourceMedium_ID;
Originator;
Other;Ander
OtherIdentifier;
OtherIdentifierType;
Output;Uitvoer
Output format;Uitvoerformaat
OverallBitRate;Totale bitrate
OverallBitRate_Maximum;Maximale Totale bitrate
OverallBitRate_Minimum;Minimale Totale bitrate
OverallBitRate_Mode;Totale bitratemodus
OverallBitRate_Nominal;Nominale Totale bitrate
PackageName;
Part;Deel
Part_Count;Totale telling
PartNumber;
PartTotal;
Performer;Artiest
Period;Periode
Phase90FilterInfo;
Phase90FilterInfo2ch;
Phone;Telefoon
PictureRatio;
PixelAspectRatio;Pixelverhouding
PixelAspectRatio_CleanAperture;
PixelAspectRatio_Original;Originele pixelverhouding
PlayCounter;Teller
Played_Count; Keren gespeeld
Played_First_Date;Eerst gespeeld
Played_Last_Date;Laatst gespeeld
PlayTime;Speeltijd
PodcastCategory;
PortableHeadphones;
PortableSpeakers;
Position;Positie
Position_Cartesian;
Position_Polar;
Position_Total;Totaal
Preferences;Voorkeuren
PreferredDownmix;
Premium;
Premium_Summary;
PreselectionLabel;
Presentation;
PresentationConfig;
PresentationConfig_ContentClassifier;
PresentationID;
PreviousDownmixType5ch;
PreviousMixType2ch;
PrimaryAudioLanguage;
Producer;Producent
ProductionDesigner;Productieontwerper
ProductionNumber;
ProductionStudio;Productiestudio
ProductPlacement;
ProgrammeHasText;
ProgrammeTextLanguage;
ProgrammeTitle;
Publisher;Uitgever
Purchased_Date;Aankoopdatum
Quote character;Aanhalingsteken
RadioStation;Radiostation
Rating;Waardering
RealtimeLoudnessCorrected;
Recorded_Date;Opnamedatum
Recorded_Location;Opnamelocatie
Released_Date;Releasedatum
RemixedBy;Geremixed door
RenderMode;
Renew;
ReplayGain_Gain;Replay gain
ReplayGain_Peak;Replay gain piek
Report;
Resolution;Resolutie
RestoreLifetimeSubscription;
s;s
SamplePeakLevel;
SamplePeakLevel_Album;
SamplesPerFrame;
SamplingCount;
SamplingRate;Samplerate
Save;Opslaan
ScanOrder;Scanvolgorde
ScanOrder_Original;
ScanOrder_Stored;
ScanOrder_StoredDisplayedInverted;
ScanOrder_StoreMethod;
ScanType;Scansoort
ScanType_Original;
ScanType_StoreMethod;
ScreenplayBy;Draaiboek door
Season;Seizoen
SecondaryAudioLanguage;
see below;zie onder
Send HeaderFile;A.u.b het Header-bestand hierheen sturen : http://sourceforge.net/projects/mediainfo/ (Bug-sectie)
Separator_Columns;scheidingsteken kolommen
Separator_Lines;scheidingsteken regels
SeriesTitle;
ServiceChannel;Servicekanaalnummer
ServiceKind;
ServiceName;Servicenaam
ServiceProvider;Serviceprovider
ServiceType;Servicesoort
Set;Set
Set_Count;Settelling
Setup;Setup
Sharpness;Scherpte
Sheet;Blad
Sheet (Complete);Blad (Compleet)
Shell extension;Shell-extensie (in explorer-rechtsklikmenu zal een Media Info optie te zien zijn...)
Shell extension, folder;
Shell InfoTip;Shell InfoTip (houd in explorer de muiscursor boven een bestand, info wordt getoond)
ShimName;
ShimVersion;
Show menu;Menu tonen
Show toolbar;Werkbalk tonen
SignalGroup;
SigningPresent;
SignLanguage;
Sort;Gesorteerd op
SoundCategory;
SoundEngineer;Geluidstechnicus
Source;
Source_Duration;
Source_FrameCount;
Source_SamplingCount;
Source_StreamSize;
Source_StreamSize_Encoded;
SpokenSubtitles;
Standard;Standaard
StoreMethod_InterleavedFields;
StoreMethod_SeparatedFields;
StoreMethod_SeparatedFields_1;
StoreMethod_SeparatedFields_2;
Stream;Stroom
Stream_MoreInfo;Meer informatie over de stroom
StreamCount;Telling van dit soort stromen
StreamID;Stroom-ID
streamIdentifier;
StreamKind;Soort stroom
StreamKindID;Stroomidentifier
StreamKindPos;Stroomidentifier
StreamSize;Stroomgrootte
StreamSize_Demuxed;
StreamSize_Encoded;
StreamSize_Proportion;Proporties van deze stroom
Subject;Onderwerp
Subscribe;
Subscribe_Button;
Subscribe_Failed;
Subscribe_Manage;
Subscribe_Renew;
Subscribe_Renew_Price;
Subscribe_Unaviable;
Subscribe_Waiting;
Subscription_Active;
Subscription_Android;
Subscription_Ended;
Subscription_Expired;
Subscription_Lifetime;
Subscription_Thanks;
Substream;
SubTrack;Ondertiteling
SubtstreamIdChannel;
Summary;Samenvatting
Supported formats;Ondersteunde formaten
Supported?;Ondersteund?
SupportUs;
SurroundAttenuationKnown;
SwitchGroup;
Synopsis;Samenvatting
SystemId;Id
Tagged_Application;Tagapplicatie
Tagged_Date;Tagdatum
TargetDeviceConfig;
Technician;Technicus
TermsOfUse;Gebruiksvoorwaarden
TertiaryAudioLanguage;
Text;Tekst
Text - Custom;Tekst - Aangepast
Text (HTML);Tekst (HTML)
Text stream(s);Tekststromen
Text streams;Tekststromen
Text_Codec_List;Tekstcodecs
Text_No;Geen tekst
Text1;Eerste tekststroom
Text2;Tweede teksstroom
Text3;Derde tekststroom
TextCount;Telling van tekststromen
TextlessElementsExist;
ThanksTo;Dank aan
Thousands separator;Scheidingsteken duizendtallen
TimeCode;
TimeCode_FirstFrame;
TimeCode_MaxFrameNumber;
TimeCode_MaxFrameNumber_Theory;
TimeCode_Settings;
TimeCode_Source;
TimeCode_Striped;
TimeStamp;
TimeZone;
Title;Titel
Title_More;Titel, meer info
Total;Totaal
TotalNumberOfParts;
TotalProgrammeDuration;
Track;Tracknaam
Track_Count;Tracktelling
TrackIndex;
TrackUID;
transfer_characteristics;
Translate_Reports;
Translator;Vertaler
Transport;
Tree;Boomstructuur
Tree & Text;Boomstructuur & Tekst
TruePeakLevel;
TruePeakLevel_Album;
Type;
TypeDefinition;
UniqueID;
UniversalAdID;
UniversalAdID_Registry;
UniversalAdID_Value;
Unknown;Onbekend
Url;Url
Video;Video
Video stream(s);Videostroom(en)
Video_Codec_List;Videocodecs
Video_Delay;Video vertraging
Video_No;Geen video
Video0_Delay;Video0 vertraging
Video1;Eerste videostroom
VideoComments;
VideoCount;Telling van videostromen
View;Beeld
View_Hint;Verander de weergave van informatie
Views;
Warning : more streams in the files;Waarschuwing : er zijn meer stromen in de bestanden
Web;Web
WebSite;
WebSite_Audio;Ga naar de website van deze audiocodec
WebSite_Audio_More;Ga naar de website (%Url%) om deze audiocodec te vinden
WebSite_General;Ga naar de website van een speler voor dit bestand
WebSite_General_More;Ga naar de website van een speler voor dit bestand
WebSite_Text;Ga naar de website van deze tekstcodec
WebSite_Text_More;Ga naar de website (%Url%) om deze tekstcodec te vinden
WebSite_Url;http://MediaArea.net/MediaInfo
WebSite_Video;Ga naar de website van deze videocodec
WebSite_Video_More;Ga naar de website (%Url%) om deze videocodec te vinden
Width;Breedte
Width_CleanAperture;
Width_Original;
WriteMe;Schrijf mij
WriteToTranslator;Schrijf naar vertaler
Written_Date;Datum van schrijven
Written_Location;Locatie van schrijven
WrittenBy;Geschreven door
Yes;Ja
Your system;Uw systeem
ZZ_Automatic_Percent;69
ZZ_AutomaticLanguage_Percent;73
